Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A871765,Olive,01/04/2023 06:03:00 PM,Jan 2023,07/29/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Brown Tabby
A871766,,01/04/2023 06:18:00 PM,Jan 2023,07/29/2022,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Black
A871761,,01/04/2023 06:35:00 PM,Jan 2023,10/29/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A867296,*Scrunchy,01/05/2023 12:00:00 AM,Jan 2023,05/14/2022,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Brown Tabby/White
A866065,*Scarlett,01/05/2023 08:50:00 AM,Jan 2023,03/23/2022,Adoption,Foster,Cat,Spayed Female,9 months,Domestic Shorthair,Brown Tabby
A865528,*Greyjoy,01/05/2023 08:52:00 AM,Jan 2023,09/12/2015,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Shorthair,Brown Tabby
A870304,,01/05/2023 10:43:00 AM,Jan 2023,09/24/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby
A870303,,01/05/2023 10:47:00 AM,Jan 2023,09/24/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A870302,,01/05/2023 10:55:00 AM,Jan 2023,09/24/2022,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black
A850937,Catsby,01/05/2023 01:56:00 PM,Jan 2023,08/02/2014,Transfer,Partner,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
A871445,Onyx,01/05/2023 03:46:00 PM,Jan 2023,12/24/2018,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Black/White
A871805,Sushi,01/05/2023 04:10:00 PM,Jan 2023,05/30/2022,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair,Black
A871816,*Champagne,01/05/2023 04:39:00 PM,Jan 2023,06/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,White/Orange Tabby
A871819,*Caviar,01/05/2023 04:40:00 PM,Jan 2023,06/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Black
A872145,Lulu,01/05/2023 05:23:00 PM,Jan 2023,01/04/2019,Return to Owner,,Cat,Spayed Female,4 years,Domestic Shorthair,Blue
A871791,A871791,01/05/2023 05:40:00 PM,Jan 2023,06/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Blue/White
A870213,*Zenith,01/05/2023 05:46:00 PM,Jan 2023,10/02/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A870090,Chipmunk,01/05/2023 06:14:00 PM,Jan 2023,05/30/2021,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A872028,Mars,01/05/2023 06:58:00 PM,Jan 2023,10/27/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A871752,*Jasmine,01/06/2023 03:11:00 PM,Jan 2023,12/29/2019,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair,Black
A870091,Milo,01/06/2023 03:11:00 PM,Jan 2023,05/30/2021,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair,Blue
A871753,*Aladdin,01/06/2023 03:12:00 PM,Jan 2023,12/29/2019,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair,Black
A872103,Luna,01/06/2023 03:12:00 PM,Jan 2023,01/04/2021,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A872102,Penny,01/06/2023 03:13:00 PM,Jan 2023,01/04/2021,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby/White
A745621,Bean,01/06/2023 03:14:00 PM,Jan 2023,10/21/2016,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black
A868784,Lila,01/06/2023 03:41:00 PM,Jan 2023,11/08/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby/White
A872027,Toast,01/06/2023 04:05:00 PM,Jan 2023,10/27/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A872055,Blue,01/06/2023 04:33:00 PM,Jan 2023,08/03/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black
A872056,Bootsie,01/06/2023 04:33:00 PM,Jan 2023,08/03/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black/White
A871830,Gatsby,01/06/2023 05:08:00 PM,Jan 2023,12/30/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Gray Tabby
A868785,A868785,01/06/2023 05:27:00 PM,Jan 2023,09/28/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby
A868813,A868813,01/06/2023 05:27:00 PM,Jan 2023,09/18/2022,Adoption,Foster,Cat,Neutered Male,3 months,Siamese,Lynx Point
A841289,Pequeno,01/07/2023 12:00:00 AM,Jan 2023,06/03/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Black/White
A866653,*Fudge,01/07/2023 09:55:00 AM,Jan 2023,06/04/2022,Adoption,Foster,Cat,Spayed Female,7 months,Domestic Shorthair,Black
A866650,*Toffee,01/07/2023 09:55:00 AM,Jan 2023,06/04/2022,Adoption,Foster,Cat,Neutered Male,7 months,Domestic Shorthair,Brown Tabby
A872074,,01/07/2023 12:44:00 PM,Jan 2023,01/03/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A870076,Callie,01/07/2023 01:47:00 PM,Jan 2023,11/30/2008,Rto-Adopt,,Cat,Spayed Female,14 years,Domestic Shorthair,Calico
A870476,,01/07/2023 02:27:00 PM,Jan 2023,10/30/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A872075,,01/07/2023 03:00:00 PM,Jan 2023,01/03/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Flame Point
A870510,,01/07/2023 04:06:00 PM,Jan 2023,10/31/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,White/Silver Tabby
A871047,*Nori,01/07/2023 05:29:00 PM,Jan 2023,09/02/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A871050,*Goma,01/07/2023 05:30:00 PM,Jan 2023,09/02/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A871687,Willoughby,01/07/2023 06:07:00 PM,Jan 2023,12/28/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Black/White
A871815,Simon,01/07/2023 06:32:00 PM,Jan 2023,12/30/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,White/Orange Tabby
A871990,A871990,01/07/2023 07:42:00 PM,Jan 2023,01/03/2021,Euthanasia,Suffering,Cat,Neutered Male,2 years,Domestic Longhair,Blue/White
A868639,Peri,01/08/2023 01:11:00 PM,Jan 2023,01/05/2014,Adoption,,Cat,Spayed Female,9 years,Domestic Shorthair,Torbie
A871760,,01/08/2023 01:14:00 PM,Jan 2023,10/29/2022,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair,Calico/Black
A872295,,01/08/2023 01:35:00 PM,Jan 2023,10/23/2022,Transfer,Partner,Cat,Intact Female,2 months,Domestic Medium Hair,Tortie
A871448,*Pop Tart,01/08/2023 02:06:00 PM,Jan 2023,06/23/2022,Transfer,Partner,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
A871449,*Pancake,01/08/2023 02:06:00 PM,Jan 2023,06/23/2022,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair Mix,Calico
A872259,Fluffy,01/08/2023 02:08:00 PM,Jan 2023,01/06/2022,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie
A871246,*Starla,01/08/2023 02:08:00 PM,Jan 2023,06/21/2022,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair,Tortie
A872258,Tiny,01/08/2023 02:08:00 PM,Jan 2023,01/06/2022,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Tortie
A870475,*Comet,01/08/2023 05:43:00 PM,Jan 2023,10/30/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A872073,*Mandarin,01/08/2023 06:05:00 PM,Jan 2023,01/03/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A863442,*Captain,01/08/2023 07:27:00 PM,Jan 2023,06/04/2022,Adoption,Foster,Cat,Neutered Male,7 months,Domestic Longhair,Black
A871239,,01/09/2023 09:36:00 AM,Jan 2023,12/21/2018,Transfer,Snr,Cat,Intact Female,4 years,Domestic Longhair,Tortie
A871313,Frappe,01/09/2023 09:36:00 AM,Jan 2023,12/22/2020,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown/Black
A872139,,01/09/2023 09:37:00 AM,Jan 2023,01/04/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Black/White
A872140,,01/09/2023 09:37:00 AM,Jan 2023,01/04/2021,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Torbie/White
A872141,,01/09/2023 09:37:00 AM,Jan 2023,05/05/2022,Transfer,Snr,Cat,Intact Female,8 months,Domestic Shorthair,Brown Tabby
A872166,A872166,01/09/2023 09:38:00 AM,Jan 2023,01/05/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A872165,A872165,01/09/2023 09:38:00 AM,Jan 2023,01/05/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Black
A871762,,01/09/2023 09:39:00 AM,Jan 2023,12/29/2020,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Calico
A872319,Cherry,01/09/2023 03:38:00 PM,Jan 2023,01/08/2020,Return to Owner,,Cat,Spayed Female,3 years,Domestic Shorthair,Blue Tabby
A870761,*Mr. Chonk,01/09/2023 04:02:00 PM,Jan 2023,12/12/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby/White
A869965,*Xena,01/09/2023 04:16:00 PM,Jan 2023,11/28/2020,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Orange Tabby/White
A872029,,01/09/2023 04:30:00 PM,Jan 2023,10/27/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A872009,Mango,01/09/2023 04:34:00 PM,Jan 2023,09/03/2022,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Orange Tabby
A872206,Sushi,01/09/2023 04:41:00 PM,Jan 2023,10/06/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Calico
A871800,*Snickerdoodle,01/09/2023 04:55:00 PM,Jan 2023,07/30/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,White/Brown Tabby
A872204,Benji,01/09/2023 05:08:00 PM,Jan 2023,07/06/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Cream/White
A872184,,01/09/2023 05:24:00 PM,Jan 2023,10/26/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A871817,Marcy,01/09/2023 05:57:00 PM,Jan 2023,12/30/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A872007,,01/09/2023 06:18:00 PM,Jan 2023,05/03/2022,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair,Tortie
A871989,,01/09/2023 06:35:00 PM,Jan 2023,10/10/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White
A872232,,01/10/2023 09:49:00 AM,Jan 2023,01/06/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A869945,*Latke,01/10/2023 10:48:00 AM,Jan 2023,10/25/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A871427,A871427,01/10/2023 01:55:00 PM,Jan 2023,11/05/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A872014,,01/10/2023 04:14:00 PM,Jan 2023,11/03/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A872205,Jerry,01/10/2023 04:19:00 PM,Jan 2023,07/06/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Cream/White
A864414,*Domino,01/10/2023 04:35:00 PM,Jan 2023,07/25/2022,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Black/White
A871796,Beast Boy,01/10/2023 05:02:00 PM,Jan 2023,03/30/2022,Adoption,,Cat,Neutered Male,9 months,Domestic Shorthair,Orange Tabby/White
A872183,,01/10/2023 05:58:00 PM,Jan 2023,10/26/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A872436,Juniper,01/10/2023 05:59:00 PM,Jan 2023,02/19/2022,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Brown Tabby
A872064,Theodore,01/10/2023 06:25:00 PM,Jan 2023,09/18/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,White/Silver
A872257,Sweetness,01/10/2023 06:37:00 PM,Jan 2023,05/06/2022,Adoption,,Cat,Spayed Female,8 months,Domestic Longhair,Gray Tabby
A872256,Liono,01/10/2023 06:38:00 PM,Jan 2023,05/06/2022,Adoption,,Cat,Neutered Male,8 months,Domestic Longhair,Gray Tabby
A872062,,01/10/2023 06:53:00 PM,Jan 2023,09/03/2022,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,White/Silver Tabby
A872061,,01/10/2023 06:53:00 PM,Jan 2023,09/03/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Silver Tabby/White
A872268,,01/10/2023 07:41:00 PM,Jan 2023,01/07/2018,Died,In Kennel,Cat,Intact Female,5 years,Domestic Shorthair,Brown Tabby
A871248,Siberia,01/11/2023 06:30:00 AM,Jan 2023,12/21/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A870473,*Jupiter,01/11/2023 09:48:00 AM,Jan 2023,10/30/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A872224,Buffalo Bill,01/11/2023 02:56:00 PM,Jan 2023,01/06/2021,Return to Owner,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby
A872015,Lola,01/11/2023 02:57:00 PM,Jan 2023,01/03/2011,Return to Owner,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,White/Black
A870368,Louie,01/11/2023 03:17:00 PM,Jan 2023,09/22/2022,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair,Black
A872121,*Velvet,01/11/2023 04:21:00 PM,Jan 2023,01/04/2019,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,Cream Tabby
A872171,Cookie,01/11/2023 05:22:00 PM,Jan 2023,09/05/2022,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby
A868731,*Beatrice,01/11/2023 05:57:00 PM,Jan 2023,11/08/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A837354,Vespa,01/11/2023 06:18:00 PM,Jan 2023,04/26/2021,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A872033,*Gabriel,01/11/2023 06:40:00 PM,Jan 2023,07/03/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Longhair,Orange/White
A871983,*Louis,01/11/2023 06:45:00 PM,Jan 2023,01/03/2021,Adoption,,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A872065,Marcelin,01/11/2023 07:00:00 PM,Jan 2023,09/03/2022,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Blue Tabby/White
A872546,,01/12/2023 10:17:00 AM,Jan 2023,01/11/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Black
A872505,,01/12/2023 10:18:00 AM,Jan 2023,01/10/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Longhair,Blue/White
A872063,,01/12/2023 10:19:00 AM,Jan 2023,01/03/2022,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Black
A872198,A872198,01/12/2023 10:19:00 AM,Jan 2023,01/05/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Black
A872240,,01/12/2023 10:45:00 AM,Jan 2023,01/08/2008,Euthanasia,Suffering,Cat,Neutered Male,15 years,Domestic Shorthair,White
A870513,,01/12/2023 10:46:00 AM,Jan 2023,10/31/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A868462,,01/12/2023 10:51:00 AM,Jan 2023,11/03/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A683600,Ghost,01/12/2023 01:26:00 PM,Jan 2023,05/12/2014,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,White
A872433,Smokey,01/12/2023 02:20:00 PM,Jan 2023,05/09/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair,Black
A872612,113 Grams,01/12/2023 02:25:00 PM,Jan 2023,01/10/2023,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair,Brown Tabby
A872613,115 Grams,01/12/2023 02:26:00 PM,Jan 2023,01/10/2023,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair,Brown Tabby
A872615,97 Grams,01/12/2023 02:26:00 PM,Jan 2023,01/10/2023,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair,Black
A872614,110 Grams,01/12/2023 02:26:00 PM,Jan 2023,01/10/2023,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair,Black
A868076,*Mirabelle,01/12/2023 03:28:00 PM,Jan 2023,10/28/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby
A872533,Ellie,01/12/2023 06:17:00 PM,Jan 2023,10/11/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Gray/White
A865912,Snickers,01/12/2023 06:22:00 PM,Jan 2023,09/20/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White
A872098,*Sonny,01/12/2023 06:29:00 PM,Jan 2023,07/04/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby
A835849,Calliope,01/12/2023 06:50:00 PM,Jan 2023,11/02/2018,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,Calico
A853635,*Magpie,01/13/2023 12:00:00 AM,Jan 2023,03/22/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,White/Black
A845244,*Valentina,01/13/2023 07:31:00 AM,Jan 2023,10/27/2020,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A872667,Torby Girl,01/13/2023 12:12:00 PM,Jan 2023,05/26/2009,,,Cat,Spayed Female,13 years,Domestic Shorthair,Tortie
A872349,,01/13/2023 12:32:00 PM,Jan 2023,09/08/2022,Transfer,Partner,Cat,Intact Male,4 months,Domestic Shorthair,Black
A872348,,01/13/2023 12:33:00 PM,Jan 2023,09/08/2022,Transfer,Partner,Cat,Unknown,4 months,Domestic Shorthair,Orange Tabby/White
A872666,,01/13/2023 12:34:00 PM,Jan 2023,09/13/2022,Transfer,Partner,Cat,Unknown,4 months,Domestic Shorthair,Black
A872213,,01/13/2023 02:07:00 PM,Jan 2023,11/15/2022,Transfer,Partner,Cat,Intact Male,1 month,Ragdoll,Blue
A872214,,01/13/2023 02:07:00 PM,Jan 2023,11/15/2022,Transfer,Partner,Cat,Intact Female,1 month,Ragdoll,Seal Point
A863443,Thor,01/13/2023 02:57:00 PM,Jan 2023,08/10/2020,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A761150,Grace,01/13/2023 03:59:00 PM,Jan 2023,10/30/2006,Transfer,Partner,Cat,Spayed Female,16 years,Domestic Shorthair Mix,Black/White
A872265,*Malcolm,01/13/2023 04:13:00 PM,Jan 2023,12/06/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A872400,Bubbles,01/13/2023 05:37:00 PM,Jan 2023,01/09/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A872331,,01/13/2023 05:54:00 PM,Jan 2023,09/08/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Orange Tabby
A872177,*Venus,01/13/2023 07:00:00 PM,Jan 2023,01/05/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair,Blue Tabby
A868460,,01/14/2023 02:22:00 PM,Jan 2023,11/03/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A868461,,01/14/2023 02:26:00 PM,Jan 2023,11/03/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby
A870872,,01/14/2023 02:42:00 PM,Jan 2023,11/05/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A870874,,01/14/2023 02:55:00 PM,Jan 2023,11/05/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair,Black/White
A872407,*Pheobe,01/14/2023 02:58:00 PM,Jan 2023,01/09/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Black
A870871,,01/14/2023 03:04:00 PM,Jan 2023,11/05/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Orange Tabby/White
A870505,,01/14/2023 03:20:00 PM,Jan 2023,09/27/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A870503,,01/14/2023 03:36:00 PM,Jan 2023,10/01/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A870509,,01/14/2023 03:50:00 PM,Jan 2023,10/31/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,White/Silver Tabby
A872269,*Edgar,01/14/2023 03:51:00 PM,Jan 2023,01/06/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Blue Tabby/White
A869958,*Betty,01/14/2023 03:57:00 PM,Jan 2023,09/28/2022,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Cream Tabby
A872072,*Aspen,01/14/2023 03:58:00 PM,Jan 2023,01/03/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A872406,*Joey,01/14/2023 03:59:00 PM,Jan 2023,01/09/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Black/White
A870474,*Venus,01/14/2023 04:21:00 PM,Jan 2023,10/30/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A870352,,01/14/2023 04:30:00 PM,Jan 2023,11/13/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A870353,,01/14/2023 05:15:00 PM,Jan 2023,11/13/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A870512,,01/15/2023 12:15:00 PM,Jan 2023,10/31/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black Tabby/White
A872583,,01/15/2023 12:52:00 PM,Jan 2023,01/11/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Cream Tabby
A872770,,01/15/2023 01:11:00 PM,Jan 2023,01/15/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Longhair,Blue Tabby
A870354,,01/15/2023 04:28:00 PM,Jan 2023,11/13/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
